parcel_id,address,lat,lng,geocoder
001-5096-7,222 ST LOUIS ST,30.5217585,-91.1548158,google
000-8596-0,PO BOX 80217,30.5190775,-91.5208624,google
001-4416-9,2164 OLIVE ST,30.4392517,-91.1655378,google
001-2167-3,3346 DRUSILLA LN STE A,30.4207191,-91.08977159999999,google
000-4371-0,7515 JEFFERSON HWY #304,30.4337042,-91.1094675,google
001-6681-2,1726 AMERICA ST,30.4465092,-91.17114199999999,google
001-6718-5,PO BOX 1148,30.5190775,-91.5208624,google
000-4037-1,312 S 17TH ST,30.4452711,-91.1719964,google
000-2962-9,2415 QUAIL DR,30.4034126,-91.12637649999999,google
001-8374-1,256 S 18TH ST,30.445926,-91.17042599999999,google
001-9172-8,1563 OAKLEY DR,30.4351235,-91.0909154,google
001-1027-2,124 BRICE ST,30.4471214,-91.17121580000001,google
001-4426-6,341 BRICE ST,30.445269,-91.17079849999999,google
000-0411-1,"1550 BANCROFT AVE, APT 411",29.5875251,-90.6773075,google
001-3358-2,1919 FLOWERS CIR,30.5190775,-91.5208624,google
000-8828-5,224 S 17TH ST,30.4461666,-91.1718252,google
001-8488-8,345 BRICE ST,30.4451336,-91.17079079999999,google
001-0866-9,1488 GOVERNMENT ST,30.4433852,-91.1734743,google
001-8121-8,1748 SPAIN ST,30.4446186,-91.17067899999999,google
000-5300-7,11933 GROSS RD,30.8068404,-90.9965352,google
000-5427-5,6800 CINTAS BLVD,30.5190775,-91.5208624,google
000-5485-2,349 BRICE ST,30.4449839,-91.1707837,google
030-5906-5,1700 NORTH BLVD,30.447501,-91.1715703,google
000-0319-0,PO BOX 1786,30.5190775,-91.5208624,google
000-9831-0,260 S 18TH ST,30.4458462,-91.1704288,google
001-0853-7,PO BOX 127,31.8467956,-92.2130195,google
000-8756-4,223 S 17TH ST,30.4462681,-91.1714592,google
001-9426-3,132 N BROAD ST,29.9661312,-90.086505,google
001-4480-0,401 S 16TH ST,30.4448069,-91.17182319999999,google
308-4806-0,1778 AMERICA ST,30.4465444,-91.1706823,google
000-1386-2,302 S 18TH ST,30.445595,-91.170417,google
001-6310-4,153 N 17TH ST,30.4485745,-91.1718612,google
