park_id,name,address,city,state,zip
2267,Sugarloaf Community,2899 Sugarloaf Drive-Office,Lake Charles,LA,70607
14315,Lakewood Village Mobile Home Park,9110 Linwood Avenue,Shreveport,LA,71106
14316,Dream Courts Mobile Home Park,217 Dream Court,Slidell,LA,70461
14320,Academy Mobile Village & Apartments,2221 Jeff Davis Academy Road,Jennings,LA,70546
14321,Acadian Acres Mobile Home Park,1410 Westgate Road,Lafayette,LA,70506
14323,Acadian Mobile Home Village,237 West Saint Peter Street,New Iberia,LA,70560
14326,Alpha Mobile Home Park,433 Flournoy Lucas Road,Shreveport,LA,71106
14328,Antique Acres Mobile Home Park,2665 Winnsboro Road,Monroe,LA,71202
14329,Caddo Ridge Mobile Home Park,616 Washington Street,West Monroe,LA,71292
14330,Ashland North,1425 West Tunnel Boulevard,Houma,LA,70360
14331,Aurora Mobile Home Parks,5602 Desiard Street,Monroe,LA,71203
14334,Azalea Gardens Mobile Home & RV Park,3300 Baker Boulevard,Baker,LA,70714
14339,Barton's RV Park,1108 South Post Oak Road,Sulphur,LA,70663
14341,Bayou Shades Mobile Village,2224 Old Highway 171 North,Lake Charles,LA,70615
14344,Bellavista Mobile Home Village,2651 Barron Road,Keithville,LA,71047
14345,Belle Vale Mobile Home Park,2850 Hwy 190 W,Port Allen,LA,70767
14346,Ben's Mobile Home Park,7114 Corbina Road,Lake Charles,LA,70607
14347,Bent Oak Trailer Park,4190 Poydras Highway,Breaux Bridge,LA,70517
14348,Big D Mobile Home Park & Rental,9673 Florida Boulevard,Walker,LA,70785
14349,Big Oaks Mobile Home Park,3700 Victoria Drive,Baton Rouge,LA,70812
14352,Blanchard Mobile Home Villa,107 Blanchard Mobile Villa Road,Shreveport,LA,71107
14353,Blue Ridge Mobile Home Park,6900 Buncombe Road,Shreveport,LA,71129
14354,Bolton Ronnie Elimelech Mobile Home Park,3986 Vfw Road,Leesville,LA,71446
14355,Brady's Mobile Home Park,5044 Greenwood Rd,Shreveport,LA,71109
14356,Broadmoor Mobile Home Park,9955 Florida Boulevard,Baton Rouge,LA,70815
14359,Palmetto Mobile Home Park,29686 South Palmetto Street,Walker,LA,70785
14360,Bynog's Trailer Park,1080 Belview Road,Leesville,LA,71446
14361,Cabana Mobile Estates,6101 North Bolton Avenue,Alexandria,LA,71303
14363,Cajun Mobile Home Park,215 Gireer Road,Youngsville,LA,70592
14364,Canaan Land Mobile Home Park,2809 Arkansas Road,West Monroe,LA,71291
14365,Canary Motel & Trailer Courts,3002 Cypress Street,West Monroe,LA,71291
14366,Capri Court,105 Capri Court,Houma,LA,70361
14367,Sweet Gum Community,4314 Highway 27 South,Sulphur,LA,70665
14368,Carriage Cove Mobile Home Park,9241 Diamond Head Court,Houma,LA,70363
